Reported,BTC Acquisitions,AVG BTC Cost,Acquisition Cost,BTC Holding
2025-04-28,2.300,98216.00,225896.80,2.300
2025-04-30,3.440,95184.00,327432.96,5.740
2025-05-07,4.850,94903.00,460279.55,10.590
2025-05-14,8.610,99871.00,859889.31,19.200
2025-05-20,16.420,104202.00,1710996.84,35.620
2025-05-23,23.090,107424.00,2480420.16,58.710
2025-05-29,24.530,109828.00,2694080.84,83.240
2025-06-05,39.520,104967.00,4148295.84,122.760
2025-06-10,45.320,104935.00,4755654.20,168.080
2025-06-13,74.270,109256.00,8114443.12,242.340
2025-06-19,104.280,104451.00,10892150.28,346.630
2025-06-24,196.900,103290.00,20337801.00,543.520
2025-07-01,230.050,107126.00,24644336.30,773.580
2025-07-07,226.420,107726.00,24391320.92,1000.000
2025-07-11,275.000,108182.00,29750050.00,1275.000
2025-07-16,325.000,112157.00,36451025.00,1600.000
2025-07-25,225.000,118076.00,26567100.00,1825.000
2025-07-30,225.000,118080.00,26568000.00,2050.000
2025-08-08,50.000,116276.00,5813800.00,2100.000
2025-08-12,295.000,119412.00,35226540.00,2395.000
2025-08-28,45.000,111758.00,5029110.00,2440.000